MIN;AVG;MAX
20;132;288
51;130;294
51;128;293
53;131;277
45;129;320
52;127;280
50;131;327
49;128;290
53;128;248
51;127;276
60;130;295
51;128;284
64;130;293
52;128;283
52;129;261
50;137;273
52;134;281
49;137;261
51;135;256
50;135;245
49;134;245
48;135;263
50;136;269
49;134;263
48;135;249
47;135;266
48;137;284
44;135;271
46;136;276
49;136;288
51;133;266
51;136;266
49;134;270
62;134;281
62;134;264
64;135;253
61;132;256
63;129;280
61;134;276
60;133;273
60;135;276
64;132;269
61;130;263
62;131;274
61;130;251
41;133;306
60;133;295
61;138;275
45;140;321
50;134;292
51;133;269
60;135;283
50;136;280
62;134;299
52;133;271
62;134;298
59;133;270
64;131;274
60;136;270
62;133;266
51;135;275
61;132;258
60;133;235
59;134;259
